day_of_week,customer_age_group,is_rewards_member,cart_size,num_customizations,total_spend,fulfillment_time_min,has_food_item,order_ahead,customer_satisfaction,customer_gender_Female,customer_gender_Male,customer_gender_Non-binary,customer_gender_Prefer not to say,order_channel_Drive-Thru,order_channel_In-Store Cashier,order_channel_Kiosk,order_channel_Mobile App,store_location_type_Rural,store_location_type_Suburban,store_location_type_Urban,region_Midwest,region_Northeast,region_Southeast,region_Southwest,region_West,drink_category_Brewed Coffee,drink_category_Espresso,drink_category_Frappuccino,drink_category_Other,drink_category_Refresher,drink_category_Tea,cluster
-1.4967848900540717,-1.3296903770443629,0,0.7412438863833839,-1.2378857246403396,-0.0702354774378966,2.3569697475571325,0,0,0.2638844502518279,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
0.5013260297885017,0.2811768796572699,1,-1.6147347431913728,0.8129861000094055,-0.9709445487844666,0.5508231178662888,0,1,0.2638844502518279,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
-0.497729430132785,-0.5242567486935463,0,-1.0257400857976835,-0.5542617830904246,-1.0072634629516668,0.2282969339929236,0,0,1.1083957641438116,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
-0.9972571600934284,-0.5242567486935463,1,-1.0257400857976835,-0.5542617830904246,-0.9654967116593862,-0.6747763808524989,0,0,0.2638844502518279,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
-0.9972571600934284,0.2811768796572699,0,-0.4367454284039944,-0.5542617830904246,-0.4770073161105411,-0.287744960204461,0,0,-0.5806268636401557,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
1.0008537597491451,1.0866105080080863,1,0.7412438863833839,-0.5542617830904246,1.1373684186215165,0.2928021707675964,1,0,0.2638844502518279,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1.5003814897097885,-0.5242567486935463,1,-0.4367454284039944,-1.2378857246403396,-0.3480751708169798,-0.2232397234297876,0,1,-0.5806268636401557,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
-0.497729430132785,-1.3296903770443629,1,0.7412438863833839,2.863857924659151,2.081660186968726,0.2928021707675964,1,0,1.1083957641438116,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1.0008537597491451,1.0866105080080863,1,-1.0257400857976835,0.1293621584594904,-0.4897189360690612,-0.4167554337538069,0,1,1.1083957641438116,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
-1.4967848900540717,1.892044136358903,1,-0.4367454284039944,-0.5542617830904246,-0.6822091811552234,-0.1587344866551148,0,0,1.1083957641438116,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
